graph,nodes,infl20,time20,infl100,time100
CA,"21281,13801,14265,13929,12365,7689,6264,10762,2710,22691,449,9017,5052,15108,9710,14599,3651,21012,13142,15244,4241,4952,7007,4846,9572,11372,20511,23038,1000,23939,23614,17113,24559,1488,21508,10711,4013,18866,23841,24924,20373,14067,11275,615,482,12545,2846,16310,15066,19865,12927,14924,3386,16469,23382,21994,3501,543,14369,24330,1217,25050,24371,2072,16414,25783,5901,13346,6823,22457,200,593,14872,11293,13859,14746,21030,16270,9124,17038,18208,14808,4211,9639,7650,21436,6610,1829,6154,5225,3909,1023,4624,2042,9785,22046,18719,24057,11077,13008",386.638,680.1162600517273,1009.547,1713.2231421470642
EN,"5038,273,140,458,1028,1139,566,588,370,195,823,893,286,647,1768,76,136,95,416,734,5069,851,292,543,5022,353,155,443,80,90,1824,530,127,1806,4746,5030,516,478,2630,213,939,128,887,3311,114,93,4063,1528,1507,82,56,5033,72,1330,1817,1672,20805,78,301,1334,308,613,1031,2753,8344,342,2323,686,26576,1569,520,5036,880,652,147,2215,878,1725,2718,200,3161,91,175,1053,554,106,2939,343,780,2666,3237,314,1819,184,151,402,4755,11812,1821,929",7762.199,3469.7702808380127,13783.687,8260.339576244354
FB,"0,3437,1684,1912,107,686,348,414,3980,1718,896,698,2040,483,2738,1471,1929,1983,1076,2683,376,1153,1577,1135,2268,1941,1954,2073,946,2196,1963,999,3545,2755,2151,2002,1117,917,1917,1970,1920,1361,2030,1173,925,373,1959,25,2742,2237,2081,1132,2282,1918,2839,412,3596,2877,2045,1032,1104,1966,1235,374,2121,1997,2661,2133,2719,1465,606,1079,1416,2117,1945,1971,2088,966,2863,1329,526,366,1004,2134,2149,2676,2331,1085,2750,2328,3035,2056,1026,1083,2395,2101,1017,1522,3051,2010",2036.345,1416.0375454425812,2192.222,1610.1084070205688
