graph,nodes,infl20,time20,infl100,time100
CA,"3151,2813,4304,1502,4712,1435,4987,4645,3957,3605,4113,133,3992,1831,3018,379,3181,1036,5004,4184,2027,696,3675,1472,1351,2906,111,3490,523,2137,2887,4695,2254,1396,4251,129,2967,1921,2673,4474,240,4975,4958,1800,3913,3629,4887,1953,3116,2143,749,4797,574,4839,127,4246,2859,5066,785,554,1856,3463,1609,3170,3493,941,3238,907,2140,4510,409,3435,4988,2287,285,1518,1327,418,633,4533,4644,1634,3347,4998,4426,4536,4185,739,3448,732,2545,1234,3602,1227,1840,2183,4493,1065,2910,235",246.3,4.504251956939697,917.45,7.063045978546143
EN,"27,46,1910,164,166,907,131,465,1424,1555,1176,687,615,54,923,224,193,1885,611,280,2229,5695,762,871,570,185,1653,1814,1389,364,2096,2165,340,1042,1461,455,143,357,642,651,1481,1396,1628,1195,183,4293,4531,5276,1438,281,1159,1191,1765,771,527,1164,1558,2045,1652,469,509,417,803,269,890,3143,2189,420,6565,744,1592,1208,512,6653,685,177,2576,313,1245,4056,1055,604,1657,3035,662,1224,712,228,1140,658,3999,559,2046,2654,631,2650,934,792,1110,2940",1047.67,13.610137462615967,3214.2,14.310331344604492
FB,"2045,2032,2800,412,1125,2973,1104,1146,3545,1070,2951,67,2132,2666,606,713,353,2179,1312,2863,932,2890,1014,2266,2189,1205,1972,3596,2176,897,637,2289,1339,1345,3038,2261,2915,2359,1613,3051,136,1964,1718,475,1277,2333,2327,526,2730,1663,2460,1447,2384,2410,705,2428,1621,1604,1085,3101,2268,1584,1622,2464,107,3082,3980,1612,2906,483,2336,1684,2755,2409,2143,2901,428,1610,1465,2047,3035,1334,484,1221,917,2328,1926,2866,1577,2404,1920,1941,1939,1955,1557,1916,2719,1173,2042,2283",259.09,2.2634048461914062,1504.43,4.712010622024536
TW,"74397,40681,77691,60046,16534,65996,9436,67251,51527,55746,75986,55108,77655,7629,2314,33965,1529,17525,80004,49959,53863,45409,13907,49256,65335,40216,55618,74109,18237,23846,5472,49045,56659,47869,28507,70186,27105,8449,43607,60601,55340,41436,12501,5228,7025,58960,68593,23945,6141,57695,392,38140,57591,78076,31714,66349,17865,58071,14118,46977,58545,37550,12620,28529,55569,77046,40318,38559,53550,39964,75786,38923,63430,73301,52127,44229,35595,32953,52460,35750,8559,25626,23873,60332,54372,4444,34747,40828,43612,53404,52426,20107,26364,13723,31308,9442,5166,72003,8085,30436",1238.4,537.1504907608032,4559.82,544.9858086109161
